All Job Skills,Count,% All,Remote Job Skills,Count,% Remote,Non-Remote Job Skills,Count,% Non-Remote
3D Computer Graphics,81,1.8%,Bitcoin,23,1.8%,Payment Processing,55,1.7%
KPI,81,1.8%,Microsoft,23,1.8%,Bloomberg,54,1.7%
Research and Development,81,1.8%,Statistics,23,1.8%,Exceed,54,1.7%
Gradle,80,1.8%,Amazon S3,23,1.8%,Product Engineering,54,1.7%
Supply Chain Management,80,1.8%,Change Management,23,1.8%,TensorFlow,54,1.7%
Information Architecture,79,1.8%,Data Flow,23,1.8%,Usability,54,1.7%
Organizational Skills,79,1.8%,Requirements Elicitation,23,1.8%,Enterprise Software,53,1.7%
TCP/IP,79,1.8%,Data Quality,23,1.8%,Windows PowerShell,53,1.7%
User Stories,79,1.8%,React Native,23,1.8%,Gradle,53,1.7%
Visualization,78,1.8%,JDBC,23,1.8%,Design Software,53,1.7%
Systems Analysis,78,1.8%,Windows PowerShell,23,1.8%,ServiceNow,52,1.7%
Wealth Management,78,1.8%,mvc,23,1.8%,Oracle Application Express,52,1.7%
Microsoft Exchange,77,1.8%,Project Implementation,22,1.8%,Apache Velocity,52,1.7%
Kickstart,77,1.8%,FSA,22,1.8%,Web Browsers,51,1.6%
Spectrum,76,1.7%,Identity Management,22,1.8%,Release Management,51,1.6%
Information Security,76,1.7%,Project Planning,22,1.8%,Database Administration,51,1.6%
Build Tools,76,1.7%,Software Testing,22,1.8%,Apache Hadoop,51,1.6%
Windows PowerShell,76,1.7%,Genetics,22,1.8%,Clarity,51,1.6%
Multitasking,76,1.7%,Video,22,1.8%,IT Service Management,50,1.6%
Epic,75,1.7%,Cross-functional Team,22,1.8%,Positive Attitude,50,1.6%
Product Engineering,75,1.7%,Application Support,22,1.8%,Slack,50,1.6%
Advertising,74,1.7%,Apache Hadoop,22,1.8%,Apex,50,1.6%
SEP,74,1.7%,Vue.js,21,1.7%,Backbone.js,50,1.6%
UPS,73,1.7%,Media,21,1.7%,Team Building,50,1.6%
Apache Hadoop,73,1.7%,Professional Services,21,1.7%,HTTP,50,1.6%
Release Management,72,1.6%,Release Management,21,1.7%,Remote Desktop Services,50,1.6%
Amazon EC2,72,1.6%,Product Engineering,21,1.7%,Hibernate,49,1.6%
Data Flow,72,1.6%,Concurrent Computing,21,1.7%,Wireless Communication,49,1.6%
PL/SQL,72,1.6%,Music,21,1.7%,Data Flow,49,1.6%
Database Administration,71,1.6%,Information Engineering,21,1.7%,Functional Testing,49,1.6%
Oracle Cloud,70,1.6%,Solution Architecture,21,1.7%,Electronic Commerce,49,1.6%
ASP.NET,70,1.6%,Spectrum,21,1.7%,Scratch,49,1.6%
Css3,70,1.6%,Customer Satisfaction,21,1.7%,System Testing,49,1.6%
HTTP,69,1.6%,AIM,21,1.7%,Supply Chain Management,48,1.5%
Change Management,69,1.6%,LinkedIn,21,1.7%,Cryptography,48,1.5%
Routing,68,1.5%,High-level Design,21,1.7%,Blockchain,48,1.5%
Concurrent Computing,68,1.5%,Manufacturing,21,1.7%,Kanban,48,1.5%
Apache Flink,68,1.5%,Internet Explorer,21,1.7%,Fusion,48,1.5%
Mobile Development,68,1.5%,Product Design,21,1.7%,UPS,48,1.5%
Virtualization,68,1.5%,Effective Communication,21,1.7%,Microsoft Visual Studio,48,1.5%
Scheduling,68,1.5%,Visualization,21,1.7%,RADIUS,48,1.5%
Satellite,67,1.5%,Blogging,20,1.6%,Virtualization,48,1.5%
Team Building,67,1.5%,Selenium,20,1.6%,Scheduling,48,1.5%
Mechanical Engineering,67,1.5%,SAML,20,1.6%,Computer Vision,47,1.5%
Selenium,67,1.5%,Functional Requirements,20,1.6%,Concurrent Computing,47,1.5%
MEAN Stack,67,1.5%,Data Centers,20,1.6%,Access Control,47,1.5%
Pricing,67,1.5%,Microsoft Exchange,20,1.6%,System Integration Testing,47,1.5%
mvc,66,1.5%,Business Plans,20,1.6%,Data Warehouse,47,1.5%
Remote Desktop Services,66,1.5%,User Stories,20,1.6%,Atlassian,47,1.5%
Data Warehouse,66,1.5%,Database Design,20,1.6%,Databricks,47,1.5%
Effective Communication,66,1.5%,Multitasking,20,1.6%,Amazon RDS,47,1.5%
IT Service Management,66,1.5%,Virtualization,20,1.6%,Selenium,47,1.5%
Performance Management,66,1.5%,Capital Market,20,1.6%,Information Security,47,1.5%
Policies and Procedures,66,1.5%,Lean Methodology,20,1.6%,Middleware,47,1.5%
Production Support,66,1.5%,Scheduling,20,1.6%,System Requirements,46,1.5%
Microsoft Visual Studio,65,1.5%,RabbitMQ,20,1.6%,Fluency,46,1.5%
Encryption,65,1.5%,Integrated Circuit,20,1.6%,Palo Alto,46,1.5%
Apex,65,1.5%,Organizational Skills,20,1.6%,MATLAB,46,1.5%
Clarity,65,1.5%,Behavior-driven Development,20,1.6%,Cloud Security,46,1.5%
Oracle Application Express,65,1.5%,Acceptance Testing,20,1.6%,Business Analysis,46,1.5%
System Integration Testing,64,1.5%,Database Administration,20,1.6%,Change Management,46,1.5%
Payment Processing,64,1.5%,Amazon SQS,20,1.6%,Encryption,46,1.5%
Virtual Team,64,1.5%,Firewall,20,1.6%,Effective Communication,45,1.4%
Databricks,64,1.5%,LOS,20,1.6%,Css3,45,1.4%
Fluency,63,1.4%,Data Storage,19,1.5%,IDEA,45,1.4%
Cloud Security,63,1.4%,Build Tools,19,1.5%,Security Engineering,45,1.4%
Amazon RDS,63,1.4%,Telecommuting,19,1.5%,Cucumber,44,1.4%
Kanban,63,1.4%,HTTP,19,1.5%,Shell,44,1.4%
System Testing,63,1.4%,Financial Software,19,1.5%,High Performance Computing,44,1.4%
Data Quality,63,1.4%,Benchmarking,19,1.5%,Provisioning,43,1.4%
React Native,63,1.4%,Bootstrap,19,1.5%,DigitalOcean,43,1.4%
Access Control,63,1.4%,jQuery,19,1.5%,Forms,43,1.4%
Business Intelligence,63,1.4%,Lifecycle Management,19,1.5%,mvc,43,1.4%
Computer Vision,63,1.4%,Data Warehouse,19,1.5%,Wealth Management,43,1.4%
Business Analysis,63,1.4%,Encryption,19,1.5%,PL/SQL,43,1.4%
FAR,62,1.4%,JPA,19,1.5%,Performance Testing,43,1.4%
Web Browsers,62,1.4%,Prompt Engineering,19,1.5%,Data Visualization,43,1.4%
IBM WebSphere MQ,62,1.4%,Requirements Analysis,19,1.5%,People Management,42,1.3%
Requirements Elicitation,62,1.4%,AWS,18,1.4%,Inventory,42,1.3%
Forms,61,1.4%,Android Development,18,1.4%,Regression Testing,42,1.3%
Shell,61,1.4%,JMS,18,1.4%,Microsoft PowerPoint,42,1.3%
Pharmacy,61,1.4%,Meta-data Management,18,1.4%,Organizational Development,42,1.3%
High Performance Computing,61,1.4%,IC,18,1.4%,Geospatial Analysis,42,1.3%
Critical Thinking,61,1.4%,Tidal,18,1.4%,Django,42,1.3%
jQuery,60,1.4%,Forms,18,1.4%,Electronics,41,1.3%
Identity Management,60,1.4%,Internal Communications,18,1.4%,Performance Management,41,1.3%
Design Software,60,1.4%,SSO,18,1.4%,Mapping,41,1.3%
Wireless Communication,60,1.4%,Web Portals,18,1.4%,Purchasing,41,1.3%
Performance Testing,60,1.4%,Point Of Sale,18,1.4%,Waterfall,41,1.3%
Professional Services,60,1.4%,Mainframe,18,1.4%,Customer Engagement,41,1.3%
Bridging,60,1.4%,TCP/IP,18,1.4%,Mobile Development,41,1.3%
Database Design,59,1.3%,Team Building,17,1.4%,Stored Procedures,41,1.3%
Data Centers,59,1.3%,High Performance Computing,17,1.4%,Pricing,41,1.3%
Provisioning,59,1.3%,Thought Leadership,17,1.4%,jQuery,41,1.3%
Amazon DynamoDB,59,1.3%,Fluency,17,1.4%,Routing,40,1.3%
Cucumber,59,1.3%,Business Systems,17,1.4%,SAP,40,1.3%
System Requirements,59,1.3%,Machine Learning Operations (ML Ops),17,1.4%,Progress Chef,40,1.3%
Backbone.js,58,1.3%,Ruby on Rails,17,1.4%,Instrumentation,40,1.3%
RTOS,58,1.3%,Snow Flake Schema,17,1.4%,Business Model,40,1.3%
People Management,58,1.3%,Business Analysis,17,1.4%,ASP.NET,40,1.3%
Project Planning,58,1.3%,Cloud Security,17,1.4%,Data Governance,40,1.3%
Bloomberg,57,1.3%,Shell,17,1.4%,Organized,40,1.3%
RabbitMQ,57,1.3%,Repair,17,1.4%,React Native,40,1.3%
Positive Attitude,56,1.3%,System Integration Testing,17,1.4%,Threat Modeling,40,1.3%
Scratch,55,1.3%,Relationship Building,17,1.4%,Data Quality,40,1.3%
Business Systems,55,1.3%,Data Management,17,1.4%,Investment Management,39,1.2%
Atlassian,55,1.3%,Extreme Programming,17,1.4%,Dynatrace,39,1.2%
SAP,55,1.3%,Performance Testing,17,1.4%,Network Security,39,1.2%
Instrumentation,54,1.2%,Microsoft Visual Studio,17,1.4%,Apache Flink,39,1.2%
Logistics,54,1.2%,Rust,17,1.4%,Database Design,39,1.2%
Spanish,54,1.2%,Dropbox,17,1.4%,Data Centers,39,1.2%
Facilitation,54,1.2%,Data Integrity,17,1.4%,Professional Services,39,1.2%
Security Engineering,54,1.2%,IT Operations,17,1.4%,Requirements Elicitation,39,1.2%
Organizational Development,54,1.2%,Virtual Machines,17,1.4%,Policies and Procedures,38,1.2%
Enterprise Architecture,53,1.2%,LangChain,17,1.4%,Identity Management,38,1.2%
Slack,53,1.2%,Databricks,17,1.4%,Business Systems,38,1.2%
DigitalOcean,53,1.2%,JavaScript Frameworks,17,1.4%,Spanish,38,1.2%
Functional Testing,53,1.2%,Research Design,17,1.4%,Digital Signal Processing,38,1.2%
Regression Testing,53,1.2%,PPO,17,1.4%,IBM WebSphere MQ,38,1.2%
Stored Procedures,53,1.2%,Shell Scripting,16,1.3%,Production Support,38,1.2%
Microsoft PowerPoint,53,1.2%,Amazon RDS,16,1.3%,Applied Mathematics,38,1.2%
Mapping,52,1.2%,Disaster Recovery,16,1.3%,Business Intelligence,37,1.2%
MATLAB,52,1.2%,Forecasting,16,1.3%,Data Integration,37,1.2%
IT Operations,52,1.2%,Remote Desktop Services,16,1.3%,Security+,37,1.2%
Customer Engagement,52,1.2%,POSTMAN,16,1.3%,System Administration,37,1.2%
IDEA,52,1.2%,Provisioning,16,1.3%,RabbitMQ,37,1.2%
Mockito,52,1.2%,Build Automation,16,1.3%,ARM,37,1.2%
Threat Modeling,52,1.2%,Stakeholder Management,16,1.3%,Motivation,36,1.1%
System Administration,52,1.2%,Project Delivery,16,1.3%,Project Planning,36,1.1%
JavaScript Frameworks,51,1.2%,IT Service Management,16,1.3%,Responsive Design,35,1.1%
Firewall,51,1.2%,Spanish,16,1.3%,IT Operations,35,1.1%
Code Refactoring,51,1.2%,Access Control,16,1.3%,GRID,35,1.1%
Data Visualization,51,1.2%,People Management,16,1.3%,Operational Efficiency,35,1.1%
Fusion,50,1.1%,Embedded Software,16,1.3%,Customization,35,1.1%
JDBC,50,1.1%,Computer Vision,16,1.3%,Business Analytics,35,1.1%
JPA,50,1.1%,Microsoft Office,16,1.3%,Critical Thinking,35,1.1%
RADIUS,50,1.1%,CISSP,16,1.3%,Microsoft Power BI,34,1.1%
Data Integration,50,1.1%,COBOL,16,1.3%,JavaScript Frameworks,34,1.1%
Organized,50,1.1%,Entity Framework,16,1.3%,Career Counseling,34,1.1%
Acceptance Testing,50,1.1%,Mobile Devices,16,1.3%,IoT,34,1.1%
Thought Leadership,50,1.1%,WebSocket,15,1.2%,Recovery,34,1.1%
Amazon SQS,49,1.1%,TeamCity,15,1.2%,ITAR,34,1.1%
Customization,49,1.1%,Cucumber,15,1.2%,Amazon DynamoDB,34,1.1%
Django,49,1.1%,Payroll,15,1.2%,Aviation,33,1.0%
Waterfall,49,1.1%,Command-line Interface,15,1.2%,Online Training,33,1.0%
Operational Efficiency,49,1.1%,Apache Tomcat,15,1.2%,Command-line Interface,33,1.0%
AWS,49,1.1%,OWASP,15,1.2%,Perl,33,1.0%
Data Governance,49,1.1%,IBM Rational DOORS,15,1.2%,Embedded Linux,33,1.0%
Palo Alto,48,1.1%,IT Architecture,15,1.2%,Advertising,33,1.0%
Legacy Systems,48,1.1%,Functional Programming,15,1.2%,Thought Leadership,33,1.0%
Microsoft Power BI,48,1.1%,SAP,15,1.2%,RF,33,1.0%
Security+,48,1.1%,Durable Skills,15,1.2%,Performance Analysis,33,1.0%
Bootstrap,48,1.1%,Apex,15,1.2%,Quest,32,1.0%
Command-line Interface,48,1.1%,Kanban,15,1.2%,Switches,32,1.0%
Purchasing,47,1.1%,Computer Graphics,15,1.2%,KPI,32,1.0%
Behavior-driven Development,47,1.1%,Data Architecture,15,1.2%,Management Information Systems,32,1.0%
Electronics,47,1.1%,System Administration,15,1.2%,COTS,32,1.0%
Online Training,46,1.0%,Vector Databases,15,1.2%,SPI,32,1.0%
Repair,46,1.0%,PySpark,15,1.2%,Natural Language Processing,32,1.0%
Progress Chef,46,1.0%,Ajax,15,1.2%,Performance Metrics,31,1.0%
Bitcoin,46,1.0%,Ethereum,15,1.2%,Engineering Design,31,1.0%
Business Acumen,46,1.0%,Customization,14,1.1%,Enterprise Resource Planning,31,1.0%
Business Analytics,46,1.0%,IO,14,1.1%,JPA,31,1.0%
Network Security,46,1.0%,Microsoft Power BI,14,1.1%,Software Packaging,31,1.0%
Lean Methodology,46,1.0%,Virtual Private Cloud,14,1.1%,Firewall,31,1.0%
Lifecycle Management,45,1.0%,Dynamics,14,1.1%,Product Strategy,31,1.0%
Performance Metrics,45,1.0%,IDE,14,1.1%,AWS,31,1.0%
Brokerage,45,1.0%,Instrumentation,14,1.1%,ADS,31,1.0%
Investment Management,45,1.0%,Business-to-business,14,1.1%,Regression Analysis,30,1.0%
GRID,45,1.0%,Clarity,14,1.1%,System Documentation,30,1.0%
Switches,45,1.0%,Financial Planning,14,1.1%,Software Configuration,30,1.0%
ARM,45,1.0%,Performance Metrics,14,1.1%,Apache Subversion,30,1.0%
Offshoring,45,1.0%,Cash Flow,14,1.1%,Logistics,30,1.0%
Stakeholder Management,45,1.0%,HPC,14,1.1%,Geographic Information System,30,1.0%
Perl,44,1.0%,Operational Efficiency,14,1.1%,Acceptance Testing,30,1.0%
Quest,44,1.0%,Security Controls,14,1.1%,Business Operations,30,1.0%
Personal Development,44,1.0%,IntelliJ IDEA,14,1.1%,CompTIA,29,0.9%
Geospatial Analysis,44,1.0%,Ideation,14,1.1%,Amazon SQS,29,0.9%
Business Model,44,1.0%,IT Security,14,1.1%,Stakeholder Management,29,0.9%
IoT,44,1.0%,System Testing,14,1.1%,Dragon NaturallySpeaking,29,0.9%
ADS,44,1.0%,CUDA,13,1.0%,Drawing,29,0.9%
Dynatrace,44,1.0%,Data Integration,13,1.0%,Bootstrap,29,0.9%
Android Development,44,1.0%,MVVM,13,1.0%,Reasoning,29,0.9%
POSTMAN,44,1.0%,Spring MVC,13,1.0%,Virtual Team,29,0.9%
Responsive Design,44,1.0%,Tableau,13,1.0%,Repair,29,0.9%
Soft Skills,43,1.0%,DNS,13,1.0%,YouTube,29,0.9%
Machine Learning Operations (ML Ops),43,1.0%,Domain-driven Design,13,1.0%,Sass,29,0.9%
Apache Tomcat,43,1.0%,IBM,13,1.0%,Assembly,29,0.9%
PySpark,43,1.0%,Hypervisor,13,1.0%,Quality Control,29,0.9%
Motivation,43,1.0%,Risk Assessment,13,1.0%,DNS,29,0.9%
Dragon NaturallySpeaking,42,1.0%,Strategic Management,13,1.0%,Tableau,28,0.9%
OWASP,42,1.0%,OCI,13,1.0%,R,28,0.9%
Recovery,42,1.0%,Microsoft SSIS,13,1.0%,POSTMAN,28,0.9%
DNS,42,1.0%,Online Training,13,1.0%,Facebook,28,0.9%
Software Configuration,42,1.0%,Dragon NaturallySpeaking,13,1.0%,PySpark,28,0.9%
Capital Market,42,1.0%,System Requirements,13,1.0%,Data Lake,28,0.9%
Business Operations,42,1.0%,Oracle Application Express,13,1.0%,IT Infrastructure,28,0.9%
Tableau,41,0.9%,Switches,13,1.0%,Test Methods,28,0.9%
Aviation,41,0.9%,ADS,13,1.0%,Customer Focus,28,0.9%
Applied Mathematics,41,0.9%,Cabling,13,1.0%,Apache Tomcat,28,0.9%
Prompt Engineering,41,0.9%,Cloud Architecture,13,1.0%,Creative Problem Solving,28,0.9%
Application Support,41,0.9%,Issue Resolution,13,1.0%,IBM,28,0.9%
Data Integrity,41,0.9%,Semantic Search,12,1.0%,IBM DB2,27,0.9%
IBM,41,0.9%,Parallel Computing,12,1.0%,Software Asset Management,27,0.9%
Project Implementation,40,0.9%,JNDI,12,1.0%,Signal Processing,27,0.9%
Management Information Systems,40,0.9%,Threat Modeling,12,1.0%,DTCC,27,0.9%
Enterprise Resource Planning,40,0.9%,Quest,12,1.0%,OWASP,27,0.9%
Performance Analysis,40,0.9%,MEAN Stack,12,1.0%,Investments,27,0.9%
Digital Signal Processing,39,0.9%,IMG,12,1.0%,Facilitation,27,0.9%
Engineering Design,39,0.9%,IPv6,12,1.0%,Scripting Language,27,0.9%
Research Design,39,0.9%,JMX,12,1.0%,NATURAL,27,0.9%
LangChain,39,0.9%,Hosting,12,1.0%,Behavior-driven Development,27,0.9%
SAML,39,0.9%,Software Configuration,12,1.0%,Personas,27,0.9%
CUDA,39,0.9%,Web Security,12,1.0%,Tier 1,27,0.9%
Reasoning,39,0.9%,Cypress,12,1.0%,JDBC,27,0.9%
Virtual Machines,39,0.9%,JTA,12,1.0%,SLA,27,0.9%
Ajax,39,0.9%,JSP,12,1.0%,Ethernet,27,0.9%
Mergers and Acquisitions,38,0.9%,User Guides,12,1.0%,UDP,27,0.9%
Personas,38,0.9%,Impact Analysis,12,1.0%,Mergers and Acquisitions,27,0.9%
Disaster Recovery,38,0.9%,Business Operations,12,1.0%,.,27,0.9%
Apache Subversion,38,0.9%,Foreign Exchange,12,1.0%,Service Level,27,0.9%
Blueprint,38,0.9%,Object-relational Mapping,12,1.0%,Hardware Development,27,0.9%
HPC,38,0.9%,Cosmos-Db,12,1.0%,Platinum DB2 for z/OS,26,0.8%
Data Architecture,38,0.9%,Organizational Development,12,1.0%,Puppet,26,0.8%
IBM DB2,38,0.9%,Stored Procedures,12,1.0%,Mockito,26,0.8%
Regression Analysis,37,0.8%,SNC,11,0.9%,Machine Learning Operations (ML Ops),26,0.8%
Music,37,0.8%,Microsoft PowerPoint,11,0.9%,Avionics,26,0.8%
COTS,37,0.8%,Performance Monitoring,11,0.9%,Design Documentation,26,0.8%
Meta-data Management,37,0.8%,PHP,11,0.9%,PMBOK,26,0.8%
MVVM,37,0.8%,SFTP,11,0.9%,Android Development,26,0.8%
Build Automation,37,0.8%,Honesty,11,0.9%,Objective-C,26,0.8%
Ruby on Rails,37,0.8%,Wireless Communication,11,0.9%,Data Collection,26,0.8%
Ideation,37,0.8%,Acquisition,11,0.9%,Preventive Maintenance,26,0.8%
Preventive Maintenance,37,0.8%,Web Browsers,11,0.9%,Lifecycle Management,26,0.8%
IO,36,0.8%,McKesson,11,0.9%,Enterprise Architecture,26,0.8%
Domain-driven Design,36,0.8%,Perl,11,0.9%,Lean Methodology,26,0.8%
Web Portals,36,0.8%,Mapping,11,0.9%,CUDA,26,0.8%
IntelliJ IDEA,36,0.8%,IPS,11,0.9%,ADA,26,0.8%
R,36,0.8%,ITIL,11,0.9%,System On A Chip,25,0.8%
SSO,36,0.8%,Layout,11,0.9%,Network Layer,25,0.8%
IDE,36,0.8%,Customer Engagement,11,0.9%,Wholesale,25,0.8%
Functional Programming,36,0.8%,Strategic Thinking,11,0.9%,Derivatives,25,0.8%
RF,36,0.8%,IBM DB2,11,0.9%,Work Ethic,25,0.8%
Software Packaging,36,0.8%,SANS,11,0.9%,Broadband,25,0.8%
CISSP,36,0.8%,Mergers and Acquisitions,11,0.9%,SDK,25,0.8%
Product Strategy,36,0.8%,Regression Testing,11,0.9%,Device Drivers,25,0.8%
Service Level,36,0.8%,Personas,11,0.9%,scikit-learn,24,0.8%
Project Delivery,36,0.8%,Business Analytics,11,0.9%,Data Integrity,24,0.8%
CaliberRM,36,0.8%,Security+,11,0.9%,Eclipse,24,0.8%
Geographic Information System,35,0.8%,PaaS,11,0.9%,Software,24,0.8%
ITAR,35,0.8%,Microsoft SharePoint,11,0.9%,Program Management,24,0.8%
Investments,35,0.8%,Preventive Maintenance,11,0.9%,Cryptocurrency,24,0.8%
Financial Software,35,0.8%,Business Software,10,0.8%,VxWorks,24,0.8%
IT Architecture,35,0.8%,Oracle Db,10,0.8%,Structural Engineering,24,0.8%
Extreme Programming,35,0.8%,ASP.NET MVC,10,0.8%,Architectural Design,24,0.8%
Test Methods,35,0.8%,Boost,10,0.8%,WCAG,24,0.8%
CompTIA,35,0.8%,Higher Education,10,0.8%,Ajax,24,0.8%
COBOL,35,0.8%,Javascript,10,0.8%,I2C,24,0.8%
Entity Framework,35,0.8%,IoT,10,0.8%,TCP,24,0.8%
Objective-C,35,0.8%,Fortify,10,0.8%,MVVM,24,0.8%
SDK,35,0.8%,SQL Azure,10,0.8%,FPGA,24,0.8%
Sass,34,0.8%,GRID,10,0.8%,HPC,24,0.8%
IT Infrastructure,34,0.8%,ELT,10,0.8%,CPU,24,0.8%
Hardware Development,34,0.8%,Flask,10,0.8%,Bluetooth,23,0.7%
Assembly,34,0.8%,Organized,10,0.8%,SAN,23,0.7%
Puppet,34,0.8%,DigitalOcean,10,0.8%,Data Architecture,23,0.7%
Cloud Architecture,34,0.8%,Patents,10,0.8%,TLS,23,0.7%
System Documentation,34,0.8%,Reasoning,10,0.8%,Domain-driven Design,23,0.7%
Work Ethic,34,0.8%,Asset Management,10,0.8%,Code Refactoring,23,0.7%
Data Lake,34,0.8%,Sensors,10,0.8%,Ideation,23,0.7%
Career Counseling,34,0.8%,A/B Testing,10,0.8%,ISO 9000,23,0.7%
Program Management,34,0.8%,ProVision,10,0.8%,Electronic Health Record (EHR),23,0.7%
Embedded Linux,34,0.8%,TestNG,10,0.8%,Network Protocols,23,0.7%
JMS,34,0.8%,Capital Expenditures,10,0.8%,Active Directory,23,0.7%
Hosting,33,0.8%,Wireframe,10,0.8%,Bitcoin,23,0.7%
Durable Skills,33,0.8%,Program Management,10,0.8%,AutoCAD,23,0.7%
Architectural Design,33,0.8%,SDK,10,0.8%,Penetration Testing,22,0.7%
Object-relational Mapping,33,0.8%,ISR,10,0.8%,Virtual Machines,22,0.7%
PHP,33,0.8%,SCA,10,0.8%,LangChain,22,0.7%
Data Collection,33,0.8%,Marketing Operations,10,0.8%,Microsoft TFS,22,0.7%
PaaS,33,0.8%,Issue Tracking,10,0.8%,Red Hat Linux,22,0.7%
Solution Architecture,33,0.8%,OSI,10,0.8%,Flask,22,0.7%
Quality Control,33,0.8%,Product QA,10,0.8%,IntelliJ IDEA,22,0.7%
Customer Focus,33,0.8%,Apache Hive,9,0.7%,Apache Hive,22,0.7%
SPI,33,0.8%,Process Modeling,9,0.7%,Code Optimization,22,0.7%
Flask,32,0.7%,Penetration Testing,9,0.7%,PHP,22,0.7%
WebSocket,32,0.7%,Security Engineering,9,0.7%,Research Design,22,0.7%
Issue Tracking,32,0.7%,Front Office,9,0.7%,OS X,22,0.7%
System On A Chip,32,0.7%,Feasibility Study,9,0.7%,Pharmacy,22,0.7%
Forecasting,32,0.7%,Negotiations,9,0.7%,PaaS,22,0.7%
Creative Problem Solving,32,0.7%,Red Hat Linux,9,0.7%,IO,22,0.7%
Microsoft SharePoint,32,0.7%,API Management,9,0.7%,Schematics,22,0.7%
NATURAL,32,0.7%,Batch Processing,9,0.7%,Prompt Engineering,22,0.7%
Design Documentation,32,0.7%,JCL,9,0.7%,Financial Technology,22,0.7%
Apache Hive,31,0.7%,Microsoft Visio,9,0.7%,Disaster Recovery,22,0.7%
Red Hat Linux,31,0.7%,Apache JMeter,9,0.7%,Issue Tracking,22,0.7%
Avionics,31,0.7%,Amazon EC2,9,0.7%,Chemistry,22,0.7%
Scripting Language,31,0.7%,Architectural Design,9,0.7%,Capital Market,22,0.7%
Cryptocurrency,31,0.7%,Responsive Design,9,0.7%,IDE,22,0.7%
Ethernet,31,0.7%,Bonds,9,0.7%,Offshoring,21,0.7%
Risk Assessment,31,0.7%,Microsoft Outlook,9,0.7%,JetBrains,21,0.7%
Mainframe,31,0.7%,FX,9,0.7%,Hosting,21,0.7%
EBS,31,0.7%,Surveillance,9,0.7%,Web API,21,0.7%
Benchmarking,31,0.7%,System Monitoring,9,0.7%,Functional Programming,21,0.7%
Penetration Testing,31,0.7%,Client/server,9,0.7%,Telecommunications,21,0.7%
Blogging,31,0.7%,Payment Processing,9,0.7%,Infrastructure Architecture,21,0.7%
Strategic Thinking,31,0.7%,Objective-C,9,0.7%,Conceptual Design,21,0.7%
TLS,31,0.7%,Enterprise Resource Planning,9,0.7%,Object-relational Mapping,21,0.7%
Digital Media,31,0.7%,Resource Management,9,0.7%,Network Design,21,0.7%
scikit-learn,30,0.7%,Core Data,9,0.7%,Demonstrations,21,0.7%
SLA,30,0.7%,Groovy,9,0.7%,Microsoft SharePoint,21,0.7%
Business-to-business,30,0.7%,Data Governance,9,0.7%,Capacity Management,21,0.7%
Drawing,30,0.7%,Audiovisual,9,0.7%,Editing,21,0.7%
Security Controls,30,0.7%,Step-Functions,9,0.7%,Quality Management,21,0.7%
ISO 9000,30,0.7%,API QA,9,0.7%,Security QA,21,0.7%
Facebook,30,0.7%,Data Migration,9,0.7%,Cloud Architecture,21,0.7%
Derivatives,30,0.7%,OOAD,9,0.7%,UART,21,0.7%
Capacity Management,29,0.7%,HIPAA,9,0.7%,Query Optimization,21,0.7%
YouTube,29,0.7%,Service Level,9,0.7%,Build Automation,21,0.7%
Wholesale,29,0.7%,Work Ethic,9,0.7%,Web Content,21,0.7%
ADA,29,0.7%,IDP,9,0.7%,Microsoft Operating Systems,21,0.7%
Broadband,29,0.7%,Business Strategy,9,0.7%,Graphical User Interface,20,0.6%
Network Design,29,0.7%,Semantics,9,0.7%,Step-Functions,20,0.6%
Code Optimization,29,0.7%,File Systems,9,0.7%,Legacy Systems,20,0.6%
Step-Functions,29,0.7%,Strategic Planning,9,0.7%,Social Media,20,0.6%
Spring MVC,29,0.7%,Thread,8,0.6%,Client/server,20,0.6%
Tier 1,29,0.7%,Publications,8,0.6%,Process Automation,20,0.6%
Patents,29,0.7%,RBAC,8,0.6%,IT Architecture,20,0.6%
Client/server,29,0.7%,Network Design,8,0.6%,Billing,20,0.6%
PMBOK,29,0.7%,Management Information Systems,8,0.6%,Quick Learner,20,0.6%
HIPAA,28,0.6%,Kibana,8,0.6%,Ruby on Rails,20,0.6%
.,28,0.6%,Software Modernization,8,0.6%,Workday,20,0.6%
Demonstrations,28,0.6%,SOQL,8,0.6%,Project Delivery,20,0.6%
